statement,Significant number 1 detected,Significant number 2 detected,equation generated,answer evaluated
reduce 32 by 71,32,71,x-y,-39
reduce 53 by 28,53,28,x-y,25
reduce 11 by 17,11,17,x-y,-6
reduce 92 by 11,92,11,x-y,81
reduce 97 by 3,97,3,x-y,94
reduce 2 by 77,2,77,x-y,-75
reduce 38 by 59,38,59,x-y,-21
reduce 38 by 37,38,37,x-y,1
reduce 28 by 89,28,89,x-y,-61
reduce 40 by 22,40,22,x-y,18
reduce 17 by 82,17,82,x-y,-65
reduce 80 by 48,80,48,x-y,32
reduce 29 by 41,29,41,x-y,-12
reduce 67 by 30,67,30,x-y,37
reduce 8 by 97,8,97,x-y,-89
reduce 89 by 63,89,63,x-y,26
reduce 37 by 39,37,39,x-y,-2
reduce 64 by 99,64,99,x-y,-35
reduce 68 by 92,68,92,x-y,-24
reduce 37 by 99,37,99,x-y,-62
reduce 26 by 88,26,88,x-y,-62
reduce 92 by 98,92,98,x-y,-6
reduce 93 by 50,93,50,x-y,43
reduce 66 by 16,66,16,x-y,50
reduce 9 by 81,9,81,x-y,-72
reduce 38 by 39,38,39,x-y,-1
reduce 37 by 39,37,39,x-y,-2
reduce 31 by 58,31,58,x-y,-27
reduce 13 by 33,13,33,x-y,-20
reduce 58 by 64,58,64,x-y,-6
reduce 19 by 35,19,35,x-y,-16
reduce 56 by 61,56,61,x-y,-5
reduce 65 by 76,65,76,x-y,-11
reduce 75 by 49,75,49,x-y,26
reduce 81 by 89,81,89,x-y,-8
reduce 92 by 53,92,53,x-y,39
reduce 69 by 47,69,47,x-y,22
reduce 6 by 57,6,57,x-y,-51
reduce 55 by 88,55,88,x-y,-33
reduce 68 by 9,68,9,x-y,59
reduce 97 by 94,97,94,x-y,3
reduce 36 by 74,36,74,x-y,-38
reduce 81 by 29,81,29,x-y,52
reduce 38 by 42,38,42,x-y,-4
reduce 14 by 91,14,91,x-y,-77
reduce 28 by 40,28,40,x-y,-12
reduce 96 by 73,96,73,x-y,23
reduce 30 by 43,30,43,x-y,-13
reduce 18 by 31,18,31,x-y,-13
reduce 85 by 8,85,8,x-y,77
reduce 40 by 59,40,59,x-y,-19
reduce 38 by 88,38,88,x-y,-50
reduce 83 by 91,83,91,x-y,-8
reduce 26 by 10,26,10,x-y,16
reduce 5 by 3,5,3,x-y,2
reduce 4 by 76,4,76,x-y,-72
reduce 70 by 2,70,2,x-y,68
reduce 7 by 55,7,55,x-y,-48
reduce 32 by 97,32,97,x-y,-65
reduce 90 by 9,90,9,x-y,81
reduce 2 by 86,2,86,x-y,-84
reduce 14 by 52,14,52,x-y,-38
reduce 91 by 13,91,13,x-y,78
reduce 97 by 82,97,82,x-y,15
reduce 57 by 18,57,18,x-y,39
reduce 80 by 71,80,71,x-y,9
reduce 37 by 79,37,79,x-y,-42
reduce 83 by 6,83,6,x-y,77
reduce 53 by 71,53,71,x-y,-18
reduce 39 by 37,39,37,x-y,2
reduce 17 by 81,17,81,x-y,-64
reduce 13 by 58,13,58,x-y,-45
reduce 80 by 27,80,27,x-y,53
reduce 23 by 70,23,70,x-y,-47
reduce 27 by 40,27,40,x-y,-13
reduce 34 by 47,34,47,x-y,-13
reduce 83 by 99,83,99,x-y,-16
reduce 49 by 75,49,75,x-y,-26
reduce 92 by 47,92,47,x-y,45
reduce 90 by 94,90,94,x-y,-4
reduce 59 by 31,59,31,x-y,28
reduce 75 by 65,75,65,x-y,10
reduce 46 by 44,46,44,x-y,2
reduce 74 by 37,74,37,x-y,37
reduce 59 by 39,59,39,x-y,20
reduce 57 by 83,57,83,x-y,-26
reduce 14 by 48,14,48,x-y,-34
reduce 37 by 3,37,3,x-y,34
reduce 42 by 43,42,43,x-y,-1
reduce 54 by 94,54,94,x-y,-40
reduce 77 by 57,77,57,x-y,20
reduce 77 by 54,77,54,x-y,23
reduce 9 by 60,9,60,x-y,-51
reduce 48 by 7,48,7,x-y,41
reduce 95 by 2,95,2,x-y,93
reduce 92 by 89,92,89,x-y,3
multiply 45 with 40,45,40,x*y,1800
multiply 65 with 73,65,73,x*y,4745
multiply 99 with 9,99,9,x*y,891
multiply 12 with 81,12,81,x*y,972
multiply 59 with 49,59,49,x*y,2891
multiply 3 with 32,3,32,x*y,96
multiply 81 with 92,81,92,x*y,7452
multiply 99 with 53,99,53,x*y,5247
multiply 82 with 50,82,50,x*y,4100
multiply 72 with 71,72,71,x*y,5112
multiply 94 with 69,94,69,x*y,6486
multiply 52 with 94,52,94,x*y,4888
multiply 26 with 72,26,72,x*y,1872
multiply 74 with 11,74,11,x*y,814
multiply 96 with 81,96,81,x*y,7776
multiply 12 with 98,12,98,x*y,1176
multiply 14 with 1,14,1,x*y,14
multiply 70 with 56,70,56,x*y,3920
multiply 8 with 40,8,40,x*y,320
multiply 22 with 92,22,92,x*y,2024
multiply 78 with 55,78,55,x*y,4290
multiply 48 with 28,48,28,x*y,1344
multiply 33 with 55,33,55,x*y,1815
multiply 70 with 32,70,32,x*y,2240
multiply 98 with 79,98,79,x*y,7742
multiply 49 with 17,49,17,x*y,833
multiply 36 with 57,36,57,x*y,2052
multiply 30 with 18,30,18,x*y,540
multiply 19 with 10,19,10,x*y,190
multiply 32 with 78,32,78,x*y,2496
multiply 64 with 64,64,64,x*y,4096
multiply 81 with 77,81,77,x*y,6237
multiply 40 with 67,40,67,x*y,2680
multiply 97 with 92,97,92,x*y,8924
multiply 38 with 77,38,77,x*y,2926
multiply 3 with 55,3,55,x*y,165
multiply 8 with 16,8,16,x*y,128
multiply 59 with 66,59,66,x*y,3894
multiply 96 with 64,96,64,x*y,6144
multiply 94 with 83,94,83,x*y,7802
multiply 69 with 3,69,3,x*y,207
multiply 60 with 83,60,83,x*y,4980
multiply 8 with 99,8,99,x*y,792
multiply 4 with 43,4,43,x*y,172
multiply 25 with 44,25,44,x*y,1100
multiply 46 with 4,46,4,x*y,184
multiply 10 with 87,10,87,x*y,870
multiply 31 with 35,31,35,x*y,1085
multiply 60 with 77,60,77,x*y,4620
multiply 14 with 73,14,73,x*y,1022
multiply 36 with 9,36,9,x*y,324
multiply 16 with 44,16,44,x*y,704
multiply 83 with 68,83,68,x*y,5644
multiply 13 with 12,13,12,x*y,156
multiply 34 with 60,34,60,x*y,2040
multiply 18 with 52,18,52,x*y,936
multiply 66 with 10,66,10,x*y,660
multiply 35 with 83,35,83,x*y,2905
multiply 56 with 67,56,67,x*y,3752
multiply 58 with 62,58,62,x*y,3596
multiply 11 with 85,11,85,x*y,935
multiply 52 with 69,52,69,x*y,3588
multiply 55 with 18,55,18,x*y,990
multiply 47 with 45,47,45,x*y,2115
multiply 79 with 59,79,59,x*y,4661
multiply 1 with 90,1,90,x*y,90
multiply 39 with 57,39,57,x*y,2223
multiply 43 with 89,43,89,x*y,3827
multiply 95 with 13,95,13,x*y,1235
multiply 49 with 14,49,14,x*y,686
multiply 64 with 63,64,63,x*y,4032
multiply 19 with 23,19,23,x*y,437
multiply 55 with 5,55,5,x*y,275
multiply 8 with 73,8,73,x*y,584
multiply 89 with 39,89,39,x*y,3471
multiply 54 with 78,54,78,x*y,4212
multiply 71 with 16,71,16,x*y,1136
multiply 26 with 29,26,29,x*y,754
multiply 10 with 87,10,87,x*y,870
multiply 84 with 93,84,93,x*y,7812
multiply 26 with 95,26,95,x*y,2470
multiply 97 with 89,97,89,x*y,8633
multiply 6 with 39,6,39,x*y,234
multiply 94 with 41,94,41,x*y,3854
multiply 66 with 57,66,57,x*y,3762
multiply 93 with 93,93,93,x*y,8649
multiply 90 with 23,90,23,x*y,2070
multiply 33 with 61,33,61,x*y,2013
multiply 28 with 13,28,13,x*y,364
multiply 95 with 62,95,62,x*y,5890
multiply 71 with 99,71,99,x*y,7029
multiply 5 with 98,5,98,x*y,490
multiply 77 with 4,77,4,x*y,308
multiply 11 with 55,11,55,x*y,605
multiply 59 with 1,59,1,x*y,59
multiply 57 with 76,57,76,x*y,4332
multiply 12 with 62,12,62,x*y,744
multiply 94 with 92,94,92,x*y,8648
multiply 13 with 77,13,77,x*y,1001
multiply 42 with 63,42,63,x*y,2646
multiply 6 with 97,6,97,x*y,582
multiply 54 with 92,54,92,x*y,4968
multiply 18 with 42,18,42,x*y,756
multiply 54 with 68,54,68,x*y,3672
multiply 85 with 56,85,56,x*y,4760
multiply 63 with 25,63,25,x*y,1575
multiply 56 with 38,56,38,x*y,2128
multiply 28 with 45,28,45,x*y,1260
multiply 32 with 12,32,12,x*y,384
multiply 79 with 23,79,23,x*y,1817
multiply 96 with 49,96,49,x*y,4704
multiply 22 with 99,22,99,x*y,2178
multiply 26 with 43,26,43,x*y,1118
multiply 64 with 25,64,25,x*y,1600
multiply 20 with 29,20,29,x*y,580
multiply 95 with 80,95,80,x*y,7600
multiply 94 with 6,94,6,x*y,564
multiply 46 with 84,46,84,x*y,3864
multiply 73 with 81,73,81,x*y,5913
multiply 92 with 41,92,41,x*y,3772
multiply 53 with 36,53,36,x*y,1908
multiply 38 with 18,38,18,x*y,684
multiply 81 with 46,81,46,x*y,3726
multiply 92 with 65,92,65,x*y,5980
multiply 44 with 44,44,44,x*y,1936
multiply 7 with 97,7,97,x*y,679
multiply 9 with 80,9,80,x*y,720
multiply 31 with 17,31,17,x*y,527
multiply 64 with 31,64,31,x*y,1984
multiply 79 with 22,79,22,x*y,1738
multiply 29 with 47,29,47,x*y,1363
multiply 46 with 68,46,68,x*y,3128
multiply 96 with 28,96,28,x*y,2688
multiply 52 with 13,52,13,x*y,676
multiply 46 with 86,46,86,x*y,3956
multiply 55 with 49,55,49,x*y,2695
multiply 21 with 3,21,3,x*y,63
multiply 75 with 69,75,69,x*y,5175
multiply 97 with 71,97,71,x*y,6887
multiply 90 with 49,90,49,x*y,4410
multiply 78 with 80,78,80,x*y,6240
multiply 71 with 23,71,23,x*y,1633
multiply 29 with 98,29,98,x*y,2842
multiply 62 with 73,62,73,x*y,4526
multiply 56 with 15,56,15,x*y,840
multiply 29 with 34,29,34,x*y,986
multiply 69 with 35,69,35,x*y,2415
multiply 47 with 22,47,22,x*y,1034
multiply 72 with 94,72,94,x*y,6768
multiply 57 with 74,57,74,x*y,4218
multiply 9 with 85,9,85,x*y,765
multiply 39 with 21,39,21,x*y,819
multiply 48 with 73,48,73,x*y,3504
multiply 24 with 20,24,20,x*y,480
multiply 92 with 85,92,85,x*y,7820
multiply 61 with 17,61,17,x*y,1037
multiply 58 with 98,58,98,x*y,5684
multiply 36 with 27,36,27,x*y,972
multiply 88 with 62,88,62,x*y,5456
multiply 67 with 9,67,9,x*y,603
multiply 30 with 54,30,54,x*y,1620
multiply 40 with 87,40,87,x*y,3480
multiply 57 with 1,57,1,x*y,57
multiply 76 with 21,76,21,x*y,1596
multiply 84 with 7,84,7,x*y,588
multiply 77 with 39,77,39,x*y,3003
multiply 9 with 16,9,16,x*y,144
multiply 26 with 34,26,34,x*y,884
multiply 53 with 9,53,9,x*y,477
multiply 71 with 7,71,7,x*y,497
multiply 65 with 9,65,9,x*y,585
multiply 41 with 27,41,27,x*y,1107
multiply 18 with 19,18,19,x*y,342
multiply 54 with 72,54,72,x*y,3888
multiply 62 with 62,62,62,x*y,3844
multiply 37 with 81,37,81,x*y,2997
multiply 86 with 38,86,38,x*y,3268
multiply 9 with 84,9,84,x*y,756
multiply 67 with 26,67,26,x*y,1742
multiply 21 with 59,21,59,x*y,1239
multiply 53 with 80,53,80,x*y,4240
multiply 50 with 49,50,49,x*y,2450
multiply 24 with 20,24,20,x*y,480
multiply 55 with 93,55,93,x*y,5115
multiply 65 with 22,65,22,x*y,1430
multiply 11 with 36,11,36,x*y,396
multiply 53 with 49,53,49,x*y,2597
multiply 64 with 30,64,30,x*y,1920
multiply 9 with 11,9,11,x*y,99
multiply 24 with 86,24,86,x*y,2064
multiply 77 with 45,77,45,x*y,3465
multiply 35 with 82,35,82,x*y,2870
multiply 73 with 76,73,76,x*y,5548
multiply 3 with 26,3,26,x*y,78
multiply 64 with 73,64,73,x*y,4672
multiply 59 with 8,59,8,x*y,472
multiply 30 with 98,30,98,x*y,2940
multiply 72 with 30,72,30,x*y,2160
multiply 9 with 2,9,2,x*y,18
multiply 42 with 8,42,8,x*y,336
multiply 76 with 2,76,2,x*y,152
multiply 15 with 45,15,45,x*y,675
multiply 86 with 30,86,30,x*y,2580
multiply 1 with 35,1,35,x*y,35
multiply 93 with 70,93,70,x*y,6510
multiply 40 with 2,40,2,x*y,80
multiply 75 with 30,75,30,x*y,2250
multiply 80 with 95,80,95,x*y,7600
multiply 80 with 18,80,18,x*y,1440
multiply 50 with 8,50,8,x*y,400
multiply 83 with 84,83,84,x*y,6972
multiply 51 with 87,51,87,x*y,4437
multiply 15 with 43,15,43,x*y,645
multiply 25 with 33,25,33,x*y,825
multiply 5 with 21,5,21,x*y,105
multiply 94 with 89,94,89,x*y,8366
multiply 66 with 92,66,92,x*y,6072
multiply 88 with 18,88,18,x*y,1584
multiply 14 with 53,14,53,x*y,742
multiply 83 with 74,83,74,x*y,6142
multiply 96 with 12,96,12,x*y,1152
multiply 24 with 55,24,55,x*y,1320
multiply 34 with 58,34,58,x*y,1972
multiply 36 with 28,36,28,x*y,1008
multiply 69 with 23,69,23,x*y,1587
multiply 44 with 73,44,73,x*y,3212
multiply 30 with 69,30,69,x*y,2070
multiply 84 with 78,84,78,x*y,6552
multiply 24 with 68,24,68,x*y,1632
multiply 91 with 9,91,9,x*y,819
multiply 25 with 20,25,20,x*y,500
multiply 55 with 18,55,18,x*y,990
multiply 86 with 76,86,76,x*y,6536
multiply 46 with 58,46,58,x*y,2668
multiply 66 with 26,66,26,x*y,1716
multiply 40 with 28,40,28,x*y,1120
multiply 53 with 52,53,52,x*y,2756
multiply 60 with 99,60,99,x*y,5940
multiply 2 with 94,2,94,x*y,188
multiply 61 with 70,61,70,x*y,4270
multiply 36 with 27,36,27,x*y,972
multiply 99 with 98,99,98,x*y,9702
multiply 85 with 48,85,48,x*y,4080
multiply 58 with 95,58,95,x*y,5510
multiply 72 with 39,72,39,x*y,2808
multiply 64 with 42,64,42,x*y,2688
multiply 6 with 91,6,91,x*y,546
multiply 29 with 5,29,5,x*y,145
multiply 84 with 92,84,92,x*y,7728
multiply 64 with 20,64,20,x*y,1280
multiply 38 with 17,38,17,x*y,646
multiply 69 with 4,69,4,x*y,276
multiply 19 with 99,19,99,x*y,1881
multiply 73 with 81,73,81,x*y,5913
multiply 45 with 43,45,43,x*y,1935
multiply 56 with 77,56,77,x*y,4312
multiply 19 with 22,19,22,x*y,418
multiply 58 with 92,58,92,x*y,5336
multiply 63 with 1,63,1,x*y,63
multiply 49 with 72,49,72,x*y,3528
multiply 53 with 76,53,76,x*y,4028
multiply 91 with 78,91,78,x*y,7098
multiply 53 with 85,53,85,x*y,4505
multiply 11 with 97,11,97,x*y,1067
multiply 70 with 66,70,66,x*y,4620
multiply 99 with 81,99,81,x*y,8019
multiply 24 with 52,24,52,x*y,1248
multiply 32 with 91,32,91,x*y,2912
multiply 62 with 4,62,4,x*y,248
multiply 79 with 7,79,7,x*y,553
multiply 67 with 38,67,38,x*y,2546
multiply 88 with 12,88,12,x*y,1056
multiply 66 with 48,66,48,x*y,3168
multiply 74 with 28,74,28,x*y,2072
multiply 85 with 43,85,43,x*y,3655
multiply 90 with 12,90,12,x*y,1080
multiply 8 with 46,8,46,x*y,368
multiply 94 with 23,94,23,x*y,2162
multiply 27 with 47,27,47,x*y,1269
multiply 2 with 79,2,79,x*y,158
multiply 39 with 97,39,97,x*y,3783
multiply 52 with 33,52,33,x*y,1716
multiply 30 with 96,30,96,x*y,2880
multiply 34 with 75,34,75,x*y,2550
multiply 32 with 82,32,82,x*y,2624
multiply 34 with 50,34,50,x*y,1700
multiply 21 with 26,21,26,x*y,546
multiply 42 with 73,42,73,x*y,3066
multiply 73 with 80,73,80,x*y,5840
multiply 47 with 22,47,22,x*y,1034
multiply 71 with 15,71,15,x*y,1065
multiply 3 with 13,3,13,x*y,39
multiply 45 with 81,45,81,x*y,3645
multiply 2 with 89,2,89,x*y,178
multiply 5 with 77,5,77,x*y,385
multiply 13 with 71,13,71,x*y,923
multiply 16 with 57,16,57,x*y,912
multiply 35 with 24,35,24,x*y,840
multiply 47 with 98,47,98,x*y,4606
multiply 1 with 20,1,20,x*y,20
multiply 49 with 31,49,31,x*y,1519
multiply 94 with 15,94,15,x*y,1410
multiply 30 with 95,30,95,x*y,2850
multiply 34 with 98,34,98,x*y,3332
multiply 66 with 73,66,73,x*y,4818
multiply 86 with 81,86,81,x*y,6966
multiply 6 with 96,6,96,x*y,576
multiply 86 with 11,86,11,x*y,946
multiply 28 with 37,28,37,x*y,1036
multiply 8 with 22,8,22,x*y,176
multiply 67 with 87,67,87,x*y,5829
multiply 70 with 59,70,59,x*y,4130
multiply 10 with 43,10,43,x*y,430
multiply 9 with 14,9,14,x*y,126
multiply 8 with 15,8,15,x*y,120
multiply 76 with 45,76,45,x*y,3420
multiply 70 with 86,70,86,x*y,6020
multiply 69 with 17,69,17,x*y,1173
multiply 78 with 6,78,6,x*y,468
multiply 17 with 74,17,74,x*y,1258
multiply 20 with 3,20,3,x*y,60
multiply 58 with 2,58,2,x*y,116
multiply 35 with 37,35,37,x*y,1295
multiply 2 with 72,2,72,x*y,144
multiply 18 with 78,18,78,x*y,1404
multiply 52 with 92,52,92,x*y,4784
multiply 84 with 79,84,79,x*y,6636
multiply 52 with 55,52,55,x*y,2860
multiply 65 with 34,65,34,x*y,2210
multiply 95 with 95,95,95,x*y,9025
multiply 83 with 96,83,96,x*y,7968
multiply 10 with 27,10,27,x*y,270
multiply 83 with 17,83,17,x*y,1411
multiply 20 with 97,20,97,x*y,1940
multiply 10 with 22,10,22,x*y,220
multiply 91 with 93,91,93,x*y,8463
multiply 91 with 90,91,90,x*y,8190
multiply 38 with 11,38,11,x*y,418
multiply 52 with 72,52,72,x*y,3744
multiply 77 with 26,77,26,x*y,2002
multiply 43 with 87,43,87,x*y,3741
multiply 95 with 10,95,10,x*y,950
multiply 83 with 17,83,17,x*y,1411
multiply 35 with 17,35,17,x*y,595
multiply 48 with 26,48,26,x*y,1248
multiply 24 with 44,24,44,x*y,1056
multiply 69 with 40,69,40,x*y,2760
multiply 22 with 67,22,67,x*y,1474
multiply 62 with 47,62,47,x*y,2914
multiply 45 with 81,45,81,x*y,3645
multiply 15 with 82,15,82,x*y,1230
multiply 36 with 87,36,87,x*y,3132
multiply 88 with 3,88,3,x*y,264
multiply 45 with 17,45,17,x*y,765
multiply 41 with 81,41,81,x*y,3321
multiply 40 with 32,40,32,x*y,1280
multiply 20 with 96,20,96,x*y,1920
multiply 34 with 5,34,5,x*y,170
multiply 43 with 67,43,67,x*y,2881
multiply 69 with 30,69,30,x*y,2070
multiply 68 with 46,68,46,x*y,3128
multiply 59 with 63,59,63,x*y,3717
multiply 46 with 97,46,97,x*y,4462
multiply 73 with 9,73,9,x*y,657
multiply 70 with 6,70,6,x*y,420
multiply 24 with 49,24,49,x*y,1176
multiply 29 with 51,29,51,x*y,1479
multiply 64 with 10,64,10,x*y,640
multiply 66 with 1,66,1,x*y,66
multiply 13 with 50,13,50,x*y,650
multiply 96 with 17,96,17,x*y,1632
multiply 82 with 91,82,91,x*y,7462
multiply 17 with 71,17,71,x*y,1207
multiply 34 with 34,34,34,x*y,1156
multiply 34 with 6,34,6,x*y,204
multiply 73 with 98,73,98,x*y,7154
multiply 90 with 65,90,65,x*y,5850
multiply 22 with 13,22,13,x*y,286
multiply 95 with 72,95,72,x*y,6840
multiply 60 with 42,60,42,x*y,2520
multiply 2 with 28,2,28,x*y,56
multiply 59 with 59,59,59,x*y,3481
multiply 65 with 97,65,97,x*y,6305
multiply 97 with 50,97,50,x*y,4850
multiply 71 with 25,71,25,x*y,1775
multiply 94 with 20,94,20,x*y,1880
multiply 37 with 48,37,48,x*y,1776
multiply 34 with 14,34,14,x*y,476
multiply 57 with 92,57,92,x*y,5244
multiply 28 with 67,28,67,x*y,1876
multiply 97 with 14,97,14,x*y,1358
multiply 34 with 29,34,29,x*y,986
multiply 40 with 95,40,95,x*y,3800
multiply 9 with 59,9,59,x*y,531
multiply 37 with 99,37,99,x*y,3663
multiply 80 with 65,80,65,x*y,5200
multiply 29 with 57,29,57,x*y,1653
multiply 70 with 26,70,26,x*y,1820
multiply 72 with 67,72,67,x*y,4824
multiply 53 with 62,53,62,x*y,3286
multiply 87 with 83,87,83,x*y,7221
multiply 98 with 81,98,81,x*y,7938
multiply 84 with 37,84,37,x*y,3108
multiply 5 with 46,5,46,x*y,230
multiply 34 with 52,34,52,x*y,1768
multiply 9 with 46,9,46,x*y,414
multiply 36 with 59,36,59,x*y,2124
multiply 72 with 97,72,97,x*y,6984
multiply 82 with 60,82,60,x*y,4920
multiply 16 with 38,16,38,x*y,608
multiply 61 with 91,61,91,x*y,5551
multiply 33 with 55,33,55,x*y,1815
multiply 59 with 48,59,48,x*y,2832
multiply 95 with 62,95,62,x*y,5890
multiply 75 with 70,75,70,x*y,5250
multiply 53 with 7,53,7,x*y,371
multiply 19 with 51,19,51,x*y,969
multiply 43 with 63,43,63,x*y,2709
multiply 70 with 78,70,78,x*y,5460
multiply 42 with 95,42,95,x*y,3990
multiply 17 with 1,17,1,x*y,17
multiply 39 with 93,39,93,x*y,3627
multiply 80 with 89,80,89,x*y,7120
multiply 87 with 88,87,88,x*y,7656
multiply 56 with 57,56,57,x*y,3192
multiply 24 with 94,24,94,x*y,2256
multiply 82 with 62,82,62,x*y,5084
multiply 39 with 47,39,47,x*y,1833
multiply 99 with 39,99,39,x*y,3861
multiply 86 with 69,86,69,x*y,5934
multiply 84 with 19,84,19,x*y,1596
multiply 20 with 71,20,71,x*y,1420
multiply 5 with 87,5,87,x*y,435
multiply 5 with 20,5,20,x*y,100
multiply 3 with 8,3,8,x*y,24
multiply 97 with 88,97,88,x*y,8536
multiply 63 with 29,63,29,x*y,1827
multiply 59 with 35,59,35,x*y,2065
multiply 71 with 79,71,79,x*y,5609
multiply 3 with 86,3,86,x*y,258
multiply 52 with 86,52,86,x*y,4472
multiply 13 with 38,13,38,x*y,494
multiply 66 with 44,66,44,x*y,2904
multiply 82 with 80,82,80,x*y,6560
multiply 72 with 8,72,8,x*y,576
multiply 7 with 99,7,99,x*y,693
multiply 71 with 10,71,10,x*y,710
multiply 36 with 78,36,78,x*y,2808
multiply 30 with 35,30,35,x*y,1050
multiply 57 with 8,57,8,x*y,456
multiply 69 with 66,69,66,x*y,4554
multiply 95 with 29,95,29,x*y,2755
multiply 33 with 26,33,26,x*y,858
multiply 60 with 43,60,43,x*y,2580
multiply 40 with 64,40,64,x*y,2560
multiply 49 with 13,49,13,x*y,637
multiply 30 with 34,30,34,x*y,1020
multiply 76 with 57,76,57,x*y,4332
multiply 64 with 26,64,26,x*y,1664
multiply 61 with 12,61,12,x*y,732
multiply 63 with 3,63,3,x*y,189
multiply 21 with 82,21,82,x*y,1722
multiply 70 with 95,70,95,x*y,6650
multiply 67 with 72,67,72,x*y,4824
multiply 12 with 34,12,34,x*y,408
multiply 87 with 87,87,87,x*y,7569
multiply 9 with 71,9,71,x*y,639
multiply 44 with 39,44,39,x*y,1716
multiply 61 with 92,61,92,x*y,5612
multiply 37 with 89,37,89,x*y,3293
multiply 91 with 42,91,42,x*y,3822
multiply 41 with 25,41,25,x*y,1025
multiply 9 with 77,9,77,x*y,693
multiply 32 with 18,32,18,x*y,576
multiply 35 with 56,35,56,x*y,1960
multiply 15 with 37,15,37,x*y,555
multiply 10 with 59,10,59,x*y,590
multiply 44 with 29,44,29,x*y,1276
multiply 28 with 79,28,79,x*y,2212
multiply 71 with 76,71,76,x*y,5396
multiply 88 with 27,88,27,x*y,2376
multiply 47 with 38,47,38,x*y,1786
multiply 82 with 29,82,29,x*y,2378
multiply 60 with 51,60,51,x*y,3060
multiply 63 with 28,63,28,x*y,1764
multiply 15 with 4,15,4,x*y,60
multiply 54 with 49,54,49,x*y,2646
multiply 43 with 96,43,96,x*y,4128
multiply 3 with 50,3,50,x*y,150
multiply 39 with 11,39,11,x*y,429
multiply 3 with 33,3,33,x*y,99
multiply 12 with 26,12,26,x*y,312
multiply 80 with 81,80,81,x*y,6480
multiply 71 with 52,71,52,x*y,3692
multiply 93 with 8,93,8,x*y,744
multiply 5 with 39,5,39,x*y,195
multiply 26 with 17,26,17,x*y,442
multiply 26 with 87,26,87,x*y,2262
multiply 28 with 52,28,52,x*y,1456
multiply 26 with 87,26,87,x*y,2262
multiply 76 with 15,76,15,x*y,1140
multiply 54 with 56,54,56,x*y,3024
multiply 28 with 26,28,26,x*y,728
multiply 40 with 19,40,19,x*y,760
multiply 53 with 6,53,6,x*y,318
multiply 5 with 97,5,97,x*y,485
multiply 67 with 28,67,28,x*y,1876
multiply 92 with 41,92,41,x*y,3772
multiply 7 with 49,7,49,x*y,343
multiply 82 with 16,82,16,x*y,1312
multiply 23 with 86,23,86,x*y,1978
multiply 46 with 93,46,93,x*y,4278
multiply 8 with 45,8,45,x*y,360
multiply 64 with 67,64,67,x*y,4288
multiply 99 with 22,99,22,x*y,2178
multiply 47 with 74,47,74,x*y,3478
multiply 3 with 73,3,73,x*y,219
multiply 25 with 73,25,73,x*y,1825
multiply 94 with 24,94,24,x*y,2256
multiply 98 with 6,98,6,x*y,588
multiply 72 with 41,72,41,x*y,2952
multiply 95 with 39,95,39,x*y,3705
multiply 51 with 72,51,72,x*y,3672
multiply 32 with 70,32,70,x*y,2240
multiply 28 with 60,28,60,x*y,1680
multiply 27 with 28,27,28,x*y,756
multiply 91 with 8,91,8,x*y,728
multiply 10 with 31,10,31,x*y,310
multiply 69 with 66,69,66,x*y,4554
multiply 22 with 45,22,45,x*y,990
multiply 73 with 40,73,40,x*y,2920
multiply 71 with 69,71,69,x*y,4899
multiply 76 with 83,76,83,x*y,6308
multiply 15 with 18,15,18,x*y,270
multiply 35 with 27,35,27,x*y,945
multiply 64 with 29,64,29,x*y,1856
multiply 98 with 40,98,40,x*y,3920
multiply 5 with 12,5,12,x*y,60
multiply 85 with 98,85,98,x*y,8330
multiply 83 with 56,83,56,x*y,4648
multiply 18 with 18,18,18,x*y,324
multiply 66 with 20,66,20,x*y,1320
multiply 72 with 95,72,95,x*y,6840
multiply 95 with 26,95,26,x*y,2470
multiply 26 with 72,26,72,x*y,1872
multiply 42 with 52,42,52,x*y,2184
multiply 2 with 33,2,33,x*y,66
multiply 73 with 15,73,15,x*y,1095
multiply 21 with 48,21,48,x*y,1008
multiply 35 with 96,35,96,x*y,3360
multiply 64 with 53,64,53,x*y,3392
multiply 45 with 16,45,16,x*y,720
multiply 35 with 19,35,19,x*y,665
multiply 27 with 7,27,7,x*y,189
multiply 49 with 36,49,36,x*y,1764
multiply 70 with 27,70,27,x*y,1890
multiply 42 with 53,42,53,x*y,2226
multiply 82 with 27,82,27,x*y,2214
multiply 5 with 23,5,23,x*y,115
multiply 39 with 46,39,46,x*y,1794
multiply 54 with 32,54,32,x*y,1728
multiply 31 with 27,31,27,x*y,837
multiply 22 with 98,22,98,x*y,2156
multiply 90 with 34,90,34,x*y,3060
multiply 95 with 83,95,83,x*y,7885
multiply 53 with 35,53,35,x*y,1855
multiply 64 with 97,64,97,x*y,6208
multiply 81 with 89,81,89,x*y,7209
multiply 52 with 89,52,89,x*y,4628
multiply 27 with 57,27,57,x*y,1539
multiply 51 with 83,51,83,x*y,4233
multiply 71 with 97,71,97,x*y,6887
multiply 33 with 67,33,67,x*y,2211
multiply 85 with 33,85,33,x*y,2805
multiply 16 with 35,16,35,x*y,560
multiply 52 with 82,52,82,x*y,4264
multiply 12 with 43,12,43,x*y,516
multiply 83 with 18,83,18,x*y,1494
multiply 63 with 69,63,69,x*y,4347
